Avg EMG - Pod01,Avg EMG - Pod02,Avg EMG - Pod03,Avg EMG - Pod04,Avg EMG - Pod05,Avg EMG - Pod06,Avg EMG - Pod07,Avg EMG - Pod08,Start Timestamp
0,6,0,2,0,2,0,2,0,4,0,6,1,3,4,2020-10-21 18:31:19.552
2,6,2,4,2,4,0,8,0,8,1,4,2,2,6,2020-10-21 18:31:19.569
2,6,3,4,2,6,0,8,1,1,6,2,2,1,4,2020-10-21 18:31:19.586
3,4,4,4,2,8,1,1,4,1,6,2,6,1,2,2020-10-21 18:31:19.603
3,8,5,8,3,1,2,2,1,8,3,2,2,8,2020-10-21 18:31:19.620
4,2,10,2,4,1,4,1,6,1,2,2,4,2,6,2020-10-21 18:31:19.636
3,2,12,6,3,1,2,1,2,0,4,1,6,2,6,2020-10-21 18:31:19.653
4,16,2,3,4,1,8,1,4,0,6,2,2,8,2020-10-21 18:31:19.670
6,17,6,5,2,1,8,1,6,2,6,2,8,2020-10-21 18:31:19.687
5,8,17,4,5,4,2,1,6,1,8,2,2,1,6,2020-10-21 18:31:19.703
5,2,12,8,4,6,1,8,1,6,1,8,2,4,1,6,2020-10-21 18:31:19.720
5,11,4,4,2,1,6,1,8,2,2,6,2,2020-10-21 18:31:19.737
4,6,10,4,4,8,1,8,1,8,1,8,2,4,2,2,2020-10-21 18:31:19.753
2,4,8,3,2,1,6,1,6,1,1,6,2,2020-10-21 18:31:19.770
3,2,10,6,3,2,1,4,1,4,0,6,1,4,1,6,2020-10-21 18:31:19.787
3,11,2,3,8,1,4,1,6,0,8,1,4,1,6,2020-10-21 18:31:19.804
2,6,8,6,4,1,4,1,4,0,8,1,2,1,4,2020-10-21 18:31:19.820
3,8,10,2,3,6,0,8,1,2,1,0,8,1,4,2020-10-21 18:31:19.837
3,6,10,6,4,2,0,6,0,6,1,0,8,1,6,2020-10-21 18:31:19.853
3,2,8,4,4,6,1,2,0,6,1,2,0,8,2,2020-10-21 18:31:19.870
4,6,8,8,5,1,4,0,8,1,4,0,4,2,2020-10-21 18:31:19.887
4,4,11,8,4,2,1,8,1,1,4,0,6,1,8,2020-10-21 18:31:19.904
4,6,7,8,5,6,2,2,1,1,0,8,1,8,2020-10-21 18:31:19.920
4,6,12,8,5,2,2,2,1,2,2,4,0,8,1,6,2020-10-21 18:31:19.936
4,6,12,6,6,1,6,1,5,8,3,2,1,6,2020-10-21 18:31:19.952
3,4,13,8,5,4,1,4,0,8,6,2,4,4,1,4,2020-10-21 18:31:19.970
3,4,13,8,1,0,8,7,4,6,1,6,2020-10-21 18:31:19.987
2,2,16,8,7,2,0,8,0,6,7,2,4,6,1,6,2020-10-21 18:31:20.004
3,13,2,8,6,1,0,6,6,5,1,4,2020-10-21 18:31:20.020
3,6,13,8,9,2,1,6,1,3,4,3,1,4,2020-10-21 18:31:20.037
4,6,14,6,8,4,2,8,0,8,3,2,2,2,2,2020-10-21 18:31:20.053
5,6,14,4,6,3,4,0,8,2,6,1,6,2,4,2020-10-21 18:31:20.070
5,4,9,8,5,4,4,2,1,2,6,1,4,2,2,2020-10-21 18:31:20.087
5,4,9,4,6,2,5,2,1,2,2,8,1,2,4,2020-10-21 18:31:20.104
6,6,15,7,2,5,6,1,4,2,2,1,2,2,6,2020-10-21 18:31:20.121
5,8,13,8,8,2,4,8,1,4,1,8,1,2,2,2020-10-21 18:31:20.137
